epoch,train_loss,mean_beta,val_bleu1,val_bleu2,val_bleu3,val_bleu4,seconds
1,4.484159,0.026258,0.374653,0.236131,0.136458,0.080397,303.90
2,3.499949,0.055539,0.564637,0.375441,0.238485,0.154048,293.29
3,3.170241,0.082584,0.581243,0.392910,0.256089,0.165252,291.23
4,2.964858,0.095315,0.574594,0.389216,0.251747,0.163190,290.38
5,2.809051,0.100543,0.569771,0.387523,0.254541,0.166151,291.82
6,2.683967,0.135687,0.609118,0.416578,0.272379,0.178443,299.53
7,2.534908,0.144404,0.594407,0.414721,0.280524,0.186102,300.50
8,2.411188,0.152071,0.611921,0.423151,0.283216,0.189541,300.78
9,2.295618,0.155209,0.600795,0.411579,0.274263,0.180274,299.58
10,2.190129,0.164087,0.609856,0.419257,0.278326,0.184627,298.42
11,2.092515,0.167686,0.602164,0.418901,0.282243,0.188296,299.46
12,2.004064,0.171744,0.587149,0.406688,0.272761,0.180792,297.97
13,1.836052,0.185597,0.610391,0.426330,0.288312,0.194147,298.77
14,1.773220,0.193656,0.588737,0.402878,0.268075,0.176852,301.07
15,1.718863,0.197935,0.596040,0.407829,0.270038,0.179264,296.44
16,1.670185,0.201843,0.593483,0.405928,0.272063,0.181698,297.47
17,1.623573,0.205628,0.590788,0.403716,0.267625,0.177423,299.28
18,1.529980,0.214503,0.591429,0.403388,0.264888,0.172874,298.98
19,1.496751,0.219280,0.594957,0.404105,0.264810,0.174119,301.01
